Production_budget,Worldwide_gross
50000000,190023573
99000000,190131036
23000000,190191646
40000000,190212113
77000000,190376181
54000000,190400000
90000000,191145256
90000000,191200000
40000000,191200000
30000000,191502246
82000000,191558505
250000,191862
85000000,191932158
55000000,192903624
68000000,193500000
36000000,193737977
41000000,193761394
60000000,194058503
66000000,194169619
450000,194183034
1500000,194568
25000,195043
150000000,195080579
40000000,195111193
60000000,195194085
15000,195254
28000000,195300000
56000000,195484552
19500000,195790794
48000000,196308367
75000000,196320329
60000000,196439693
55000000,196565669
12000000,196857
40000000,197115710
500000,197340
75000000,197504758
60000000,197578586
30000000,197593152
30000000,197618160
195000000,197687603
35000000,197692062
10000000,197901
56000000,198006880
55000000,198750909
8500000,198883
60000000,199043309
140000000,199646680
35000000,2000000
20000000,2000000
11000000,2000000
5200000,2000000
1200000,2000000
200000,2000000
9000000,2000093
2000000,2001124
2000000,2009644
2500000,2013052
15000000,2013340
5000000,2015004
900000,2019874
1000000,2022442
2000000,2022893
6500000,2025032
7000,2041928
2000000,2046090
500000,2047570
300000000,2048359754
7000000,2053330
12000000,2062406
306000000,2065478084
300000,2066892
2000000,2077844
5000000,2080693
1500000,2082980
2000000,2088390
3750000,2089072
175000,2102779
12000000,2104164
13000000,2104439
1500000,2105
6100000,2108367
17000000,2110050
19000000,2119994
19000000,2119994
5952000,2120439
500000,2141436
10000000,2151098
2000000,2151887
45000000,2154540
7000000,2165637
2000000,2175587
10000000,2179623
800000,2194020
11000000,2200000
200000000,2208208395
35000000,2221994
2000000,2226603
9000000,2243
20000000,2246000
